grupo;snis_grupo;subgrupo;snis_subgrupo;snis_familias_informacao_indicador;snis_informacao_indicador;snis_unidade;codigo_variavel;nome_variavel
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG006 - Volume de água produzido;[1.000 m³/ano];AG006;Volume de água produzido
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG007 - Volume de água tratada em ETAs;[1.000 m³/ano];AG007;Volume de água tratada em ETAs
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG008 - Volume de água micromedido;[1.000 m³/ano];AG008;Volume de água micromedido
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG010 - Volume de água consumido;[1.000 m³/ano];AG010;Volume de água consumido
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG011 - Volume de água faturado;[1.000 m³/ano];AG011;Volume de água faturado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG012 - Volume de água macromedido;[1.000 m³/ano];AG012;Volume de água macromedido
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG013 - Quantidade de economias residenciais ativas de água;[Economias];AG013;Quantidade de economias residenciais ativas de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG013A - Quantidade de economias residenciais ativas de água no ano anterior ao de referência.;[economia];AG013A;Quantidade de economias residenciais ativas de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG014 - Quantidade de economias ativas de água micromedidas;[Economias];AG014;Quantidade de economias ativas de água micromedidas
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG014A - Quantidade de economias ativas de água micromedidas no ano anterior ao de referência.;[economia];AG014A;Quantidade de economias ativas de água micromedidas no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG015 - Volume de água tratada por simples desinfecção;[1.000 m³/ano];AG015;Volume de água tratada por simples desinfecção
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG016 - Volume de água bruta importado;[1.000 m³/ano];AG016;Volume de água bruta importado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG017 - Volume de água bruta exportado;[1.000 m³/ano];AG017;Volume de água bruta exportado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG018 - Volume de água tratada importado;[1.000 m³/ano];AG018;Volume de água tratada importado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG019 - Volume de água tratada exportado;[1.000 m³/ano];AG019;Volume de água tratada exportado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG020 - Volume micromedido nas economias residenciais ativas de água;[1.000 m³/ano];AG020;Volume micromedido nas economias residenciais ativas de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG021 - Quantidade de ligações totais de água;[Ligações];AG021;Quantidade de ligações totais de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG021A - Quantidade de ligações totais de água no ano anterior ao de referência.;[ligação];AG021A;Quantidade de ligações totais de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG022 - Quantidade de economias residenciais ativas de água micromedidas;[Economias];AG022;Quantidade de economias residenciais ativas de água micromedidas
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG022A - Quantidade de economias residenciais ativas de água micromedidas no ano anterior ao de referência.;[economia];AG022A;Quantidade de economias residenciais ativas de água micromedidas no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG024 - Volume de serviço;[1.000 m³/ano];AG024;Volume de serviço
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG025A - População rural atendida com abastecimento de água no ano anterior ao de referência.;[habitante];AG025A;População rural atendida com abastecimento de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG026 - População urbana atendida com abastecimento de água;[Habitantes];AG026;População urbana atendida com abastecimento de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG026A - População urbana atendida com abastecimento de água no ano anterior ao de referência.;[habitante];AG026A;População urbana atendida com abastecimento de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG027 - Volume de água fluoretada;[1.000 m³/ano];AG027;Volume de água fluoretada
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG028 - Consumo total de energia elétrica nos sistemas de água;[1.000 kWh/ano];AG028;Consumo total de energia elétrica nos sistemas de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL001 - Ativo circulante;[1.000 R$/ano];BL001;Ativo circulante
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL002 - Ativo total;[1.000 R$/ano];BL002;Ativo total
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL003 - Exigível a longo prazo;[1.000 R$/ano];BL003;Exigível a longo prazo
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL004 - Lucro líquido com depreciação;[1.000 R$/ano];BL004;Lucro líquido com depreciação
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL005 - Passivo circulante;[1.000 R$/ano];BL005;Passivo circulante
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL006 - Patrimônio líquido;[1.000 R$/ano];BL006;Patrimônio líquido
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL007 - Receita operacional;[1.000 R$/ano];BL007;Receita operacional
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL008 - Resultado de exercícios futuros;[1.000 R$/ano];BL008;Resultado de exercícios futuros
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL009 - Resultado operacional com depreciação;[1.000 R$/ano];BL009;Resultado operacional com depreciação
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL010 - Realizável a longo prazo;[1.000 R$/ano];BL010;Realizável a longo prazo
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL011 - Lucro líquido sem depreciação;[1.000 R$/ano];BL011;Lucro líquido sem depreciação
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de balanço;BL012 - Resultado operacional sem depreciação;[1.000 R$/ano];BL012;Resultado operacional sem depreciação
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES001 - População total atendida com esgotamento sanitário;[Habitantes];ES001;População total atendida com esgotamento sanitário
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES001A - População total atendida com esgotamento sanitário no ano anterior ao de referência.;[habitante];ES001A;População total atendida com esgotamento sanitário no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES002 - Quantidade de ligações ativas de esgotos;[Ligações];ES002;Quantidade de ligações ativas de esgotos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES002A - Quantidade de ligações ativas de esgoto no ano anterior ao de referência.;[ligação];ES002A;Quantidade de ligações ativas de esgoto no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES003 - Quantidade de economias ativas de esgotos;[Economias];ES003;Quantidade de economias ativas de esgotos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES003A - Quantidade de economias ativas de esgoto no ano anterior ao de referência.;[economia];ES003A;Quantidade de economias ativas de esgoto no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES004 - Extensão da rede de esgotos;[km];ES004;Extensão da rede de esgotos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES004A - Extensão da rede de esgoto no ano anterior ao de referência.;[km];ES004A;Extensão da rede de esgoto no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES005 - Volume de esgotos coletado;[1.000 m³/ano];ES005;Volume de esgotos coletado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES006 - Volume de esgotos tratado;[1.000 m³/ano];ES006;Volume de esgotos tratado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES007 - Volume de esgotos faturado;[1.000 m³/ano];ES007;Volume de esgotos faturado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES008 - Quantidade de economias residenciais ativas de esgotos;[Economias];ES008;Quantidade de economias residenciais ativas de esgotos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES008A - Quantidade de economias residenciais ativas de esgoto no ano anterior ao de referência.;[economia];ES008A;Quantidade de economias residenciais ativas de esgoto no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES009 - Quantidade de ligações totais de esgotos;[Ligações];ES009;Quantidade de ligações totais de esgotos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES009A - Quantidade de ligações totais de esgoto no ano anterior ao de referência.;[ligação];ES009A;Quantidade de ligações totais de esgoto no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES012 - Volume de esgoto bruto exportado;[1.000 m³/ano];ES012;Volume de esgoto bruto exportado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES013 - Volume de esgotos bruto importado;[1.000m³/ano];ES013;Volume de esgotos bruto importado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES014 - Volume de esgoto importado tratado nas instalações do importador;[1.000 m³/ano];ES014;Volume de esgoto importado tratado nas instalações do importador
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES015 - Volume de esgoto bruto exportado tratado nas instalações do importador;[1.000 m³/ano];ES015;Volume de esgoto bruto exportado tratado nas instalações do importador
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES025A - População rural atendida com esgotamento sanitário no ano anterior ao de referência.;[habitante];ES025A;População rural atendida com esgotamento sanitário no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES026 - População urbana atendida com esgotamento sanitário;[Habitantes];ES026;População urbana atendida com esgotamento sanitário
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;ES026A - População urbana atendida com esgotamento sanitário no ano anterior ao de referência.;[habitante];ES026A;População urbana atendida com esgotamento sanitário no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de esgotos;ES028 - Consumo total de energia elétrica nos sistemas de esgotos;[1.000 kWh/ano];ES028;Consumo total de energia elétrica nos sistemas de esgotos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN001 - Receita operacional direta total;[R$/ano];FN001;Receita operacional direta total
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN002 - Receita operacional direta de água;[R$/ano];FN002;Receita operacional direta de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN003 - Receita operacional direta de esgoto;[R$/ano];FN003;Receita operacional direta de esgoto
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN004 - Receita operacional indireta;[R$/ano];FN004;Receita operacional indireta
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN005 - Receita operacional total (direta + indireta);[R$/ano];FN005;Receita operacional total (direta + indireta)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN006 - Arrecadação total;[R$/ano];FN006;Arrecadação total
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN007 - Receita operacional direta de água exportada (bruta ou tratada);[R$/ano];FN007;Receita operacional direta de água exportada (bruta ou tratada)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN008 - Créditos de contas a receber;[R$/ano];FN008;Créditos de contas a receber
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;FN008A - Crédito de contas a receber no ano anterior ao de referência.;[R$/ano];FN008A;Crédito de contas a receber no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN010 - Despesa com pessoal próprio;[R$/ano];FN010;Despesa com pessoal próprio
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN011 - Despesa com produtos químicos;[R$/ano];FN011;Despesa com produtos químicos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN013 - Despesa com energia elétrica;[R$/ano];FN013;Despesa com energia elétrica
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN014 - Despesa com serviços de terceiros;[R$/ano];FN014;Despesa com serviços de terceiros
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN015 - Despesas de Exploração (DEX);[R$/ano];FN015;Despesas de Exploração (DEX)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN016 - Despesas com juros e encargos do serviço da dívida;[R$/ano];FN016;Despesas com juros e encargos do serviço da dívida
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN017 - Despesas totais com os serviços (DTS);[R$/ano];FN017;Despesas totais com os serviços (DTS)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN018 - Despesas capitalizáveis realizadas pelo prestador de serviços;[R$/ano];FN018;Despesas capitalizáveis realizadas pelo prestador de serviços
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN019 - Despesas com depreciação, amortização do ativo diferido e provisão para devedores duvidosos;[R$/ano];FN019;Despesas com depreciação, amortização do ativo diferido e provisão para devedores duvidosos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN020 - Despesa com água importada (bruta ou tratada);[R$/ano];FN020;Despesa com água importada (bruta ou tratada)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN021 - Despesas fiscais ou tributárias computadas na DEX;[R$/ano];FN021;Despesas fiscais ou tributárias computadas na DEX
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN022 - Despesas fiscais ou tributárias não computadas na DEX;[R$/ano];FN022;Despesas fiscais ou tributárias não computadas na DEX
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN023 - Investimento realizado em abastecimento de água pelo prestador de serviços;[R$/ano];FN023;Investimento realizado em abastecimento de água pelo prestador de serviços
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN024 - Investimento realizado em esgotamento sanitário pelo prestador de serviços;[R$/ano];FN024;Investimento realizado em esgotamento sanitário pelo prestador de serviços
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN025 - Outros investimentos realizados pelo prestador de serviços;[R$/ano];FN025;Outros investimentos realizados pelo prestador de serviços
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN026 - Quantidade total de empregados próprios;[Empregados];FN026;Quantidade total de empregados próprios
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;FN026A - Quantidade total de empregados próprios no ano anterior ao de referência.;[empregado];FN026A;Quantidade total de empregados próprios no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN027 - Outras despesas de exploração;[R$/ano];FN027;Outras despesas de exploração
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN028 - Outras despesas com os serviços;[R$/ano];FN028;Outras despesas com os serviços
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN030 - Investimento com recursos próprios realizado pelo prestador de serviços.;[R$/ano];FN030;Investimento com recursos próprios realizado pelo prestador de serviços.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN031 - Investimento com recursos onerosos realizado pelo prestador de serviços.;[R$/ano];FN031;Investimento com recursos onerosos realizado pelo prestador de serviços.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN032 - Investimento com recursos não onerosos realizado pelo prestador de serviços.;[R$/ano];FN032;Investimento com recursos não onerosos realizado pelo prestador de serviços.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN033 - Investimentos totais realizados pelo prestador de serviços;[R$/ano];FN033;Investimentos totais realizados pelo prestador de serviços
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN034 - Despesas com amortizações do serviço da dívida;[R$/ano];FN034;Despesas com amortizações do serviço da dívida
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN035 - Despesas com juros e encargos do serviço da dívida, exceto variações monetária e cambial;[R$/ano];FN035;Despesas com juros e encargos do serviço da dívida, exceto variações monetária e cambial
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN036 - Despesa com variações monetárias e cambiais das dívidas;[R$/ano];FN036;Despesa com variações monetárias e cambiais das dívidas
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN037 - Despesas totais com o serviço da dívida;[R$/ano];FN037;Despesas totais com o serviço da dívida
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN038 - Receita operacional direta - esgoto bruto importado;[R$/ano];FN038;Receita operacional direta - esgoto bruto importado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN039 - Despesa com esgoto exportado;[R$/ano];FN039;Despesa com esgoto exportado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN041 - Despesas capitalizáveis realizadas pelo(s) município(s);[R$/ano];FN041;Despesas capitalizáveis realizadas pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN042 - Investimento realizado em abastecimento de água pelo(s) município(s);[R$/ano];FN042;Investimento realizado em abastecimento de água pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN043 - Investimento realizado em esgotamento sanitário pelo(s) município(s);[R$/ano];FN043;Investimento realizado em esgotamento sanitário pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN044 - Outros investimentos realizados pelo(s) município(s);[R$/ano];FN044;Outros investimentos realizados pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN045 - Investimento com recursos próprios realizado pelo(s) município(s);[R$/ano];FN045;Investimento com recursos próprios realizado pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN046 - Investimento com recursos onerosos realizado pelo(s) município(s);[R$/ano];FN046;Investimento com recursos onerosos realizado pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN047 - Investimento com recursos não onerosos realizado pelo(s) município(s);[R$/ano];FN047;Investimento com recursos não onerosos realizado pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN048 - Investimentos totais realizados pelo(s) município(s);[R$/ano];FN048;Investimentos totais realizados pelo(s) município(s)
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN051 - Despesas capitalizáveis realizadas pelo estado;[R$/ano];FN051;Despesas capitalizáveis realizadas pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN052 - Investimento realizado em abastecimento de água pelo estado;[R$/ano];FN052;Investimento realizado em abastecimento de água pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN053 - Investimento realizado em esgotamento sanitário pelo estado;[R$/ano];FN053;Investimento realizado em esgotamento sanitário pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN054 - Outros investimentos realizados pelo estado;[R$/ano];FN054;Outros investimentos realizados pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN055 - Investimento com recursos próprios realizado pelo estado;[R$/ano];FN055;Investimento com recursos próprios realizado pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN056 - Investimento com recursos onerosos realizado pelo estado;[R$/ano];FN056;Investimento com recursos onerosos realizado pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN057 - Investimento com recursos não onerosos realizado pelo estado;[R$/ano];FN057;Investimento com recursos não onerosos realizado pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações financeiras;FN058 - Investimentos totais realizados pelo estado;[R$/ano];FN058;Investimentos totais realizados pelo estado
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;G05A - Quantidade total de municípios atendidos com abastecimento de água;[Municípios];G05A;Quantidade total de municípios atendidos com abastecimento de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;G05B - Quantidade total de municípios atendidos com esgotamento sanitário;[Municípios];G05B;Quantidade total de municípios atendidos com esgotamento sanitário
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;G06A - População urbana residente do(s) município(s) com abastecimento de água;[Habitantes];G06A;População urbana residente do(s) município(s) com abastecimento de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;G06B - População urbana residente do(s) município(s) com esgotamento sanitário;[Habitantes];G06B;População urbana residente do(s) município(s) com esgotamento sanitário
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;G12A - População total residente do(s) município(s) com abastecimento de água, segundo o IBGE;[Habitantes];G12A;População total residente do(s) município(s) com abastecimento de água, segundo o IBGE
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;G12B - População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE;[Habitantes];G12B;População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE001 - Quantidade de municípios atendidos com abastecimento de água com delegação em vigor;[Municípios];GE001;Quantidade de municípios atendidos com abastecimento de água com delegação em vigor
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE002 - Quantidade de municípios atendidos com abastecimento de água com delegação vencida;[Municípios];GE002;Quantidade de municípios atendidos com abastecimento de água com delegação vencida
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE003 - Quantidade de municípios atendidos com abastecimento de água sem delegação;[Municípios];GE003;Quantidade de municípios atendidos com abastecimento de água sem delegação
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE005 - Quantidade total de municípios atendidos;[Municípios];GE005;Quantidade total de municípios atendidos
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE008 - Quantidade de Sedes municipais atendidas com abastecimento de água;[Sedes];GE008;Quantidade de Sedes municipais atendidas com abastecimento de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE009 - Quantidade de Sedes municipais atendidas com esgotamento sanitário;[Sedes];GE009;Quantidade de Sedes municipais atendidas com esgotamento sanitário
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE010 - Quantidade de Localidades (excluídas as sedes) atendidas com abastecimento de água;[Localidades];GE010;Quantidade de Localidades (excluídas as sedes) atendidas com abastecimento de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE011 - Quantidade de Localidades (excluídas as sedes) atendidas com esgotamento sanitário;[Localidades];GE011;Quantidade de Localidades (excluídas as sedes) atendidas com esgotamento sanitário
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações gerais;GE014 - Quantidade de municípios atendidos com esgotamento sanitário com delegação em vigor;[Municípios];GE014;Quantidade de municípios atendidos com esgotamento sanitário com delegação em vigor
